M_flight,norm_dI_deta_b,norm_dI_dr_n,norm_dTSFC_deta_b,norm_dTSFC_dr_n
1,0,0,0,0
1.00500500500501,0,0,0,0
1.01001001001001,0,0,0,0
1.01501501501502,0,0,0,0
1.02002002002002,0,0,0,0
1.02502502502503,0,0,0,0
1.03003003003003,0,0,0,0
1.03503503503504,0,0,0,0
1.04004004004004,0,0,0,0
1.04504504504505,0,0,0,0
1.05005005005005,0,0,0,0
1.05505505505506,0,0,0,0
1.06006006006006,0,0,0,0
1.06506506506507,0,0,0,0
1.07007007007007,0,0,0,0
1.07507507507508,0,0,0,0
1.08008008008008,0,0,0,0
1.08508508508509,0,0,0,0
1.09009009009009,0,0,0,0
1.0950950950951,0,0,0,0
1.1001001001001,0,0,0,0
1.10510510510511,0,0,0,0
1.11011011011011,0,0,0,0
1.11511511511512,0,0,0,0
1.12012012012012,0,0,0,0
1.12512512512513,0,0,0,0
1.13013013013013,0,0,0,0
1.13513513513514,0,0,0,0
1.14014014014014,0,0,0,0
1.14514514514515,0,0,0,0
1.15015015015015,0,0,0,0
1.15515515515516,0,0,0,0
1.16016016016016,0,0,0,0
1.16516516516517,0,0,0,0
1.17017017017017,0,0,0,0
1.17517517517518,0,0,0,0
1.18018018018018,0,0,0,0
1.18518518518519,0,0,0,0
1.19019019019019,0,0,0,0
1.1951951951952,0,0,0,0
1.2002002002002,0,0,0,0
1.20520520520521,0,0,0,0
1.21021021021021,0,0,0,0
1.21521521521522,0,0,0,0
1.22022022022022,0,0,0,0
1.22522522522523,0,0,0,0
1.23023023023023,0,0,0,0
1.23523523523524,0,0,0,0
1.24024024024024,0,0,0,0
1.24524524524525,0,0,0,0
1.25025025025025,0,0,0,0
1.25525525525526,0,0,0,0
1.26026026026026,0,0,0,0
1.26526526526527,0,0,0,0
1.27027027027027,0,0,0,0
1.27527527527528,0,0,0,0
1.28028028028028,0,0,0,0
1.28528528528529,0,0,0,0
1.29029029029029,0,0,0,0
1.2952952952953,0,0,0,0
1.3003003003003,0,0,0,0
1.30530530530531,0,0,0,0
1.31031031031031,0,0,0,0
1.31531531531532,0,0,0,0
1.32032032032032,0,0,0,0
1.32532532532533,0,0,0,0
1.33033033033033,0,0,0,0
1.33533533533534,0,0,0,0
1.34034034034034,0,0,0,0
1.34534534534535,0,0,0,0
1.35035035035035,0,0,0,0
1.35535535535536,0,0,0,0
1.36036036036036,0,0,0,0
1.36536536536537,0,0,0,0
1.37037037037037,0,0,0,0
1.37537537537538,0,0,0,0
1.38038038038038,0,0,0,0
1.38538538538539,0,0,0,0
1.39039039039039,0,0,0,0
1.3953953953954,0,0,0,0
1.4004004004004,0,0,0,0
1.40540540540541,0,0,0,0
1.41041041041041,0,0,0,0
1.41541541541542,0,0,0,0
1.42042042042042,0,0,0,0
1.42542542542543,0,0,0,0
1.43043043043043,0,0,0,0
1.43543543543544,0,0,0,0
1.44044044044044,0,0,0,0
1.44544544544545,0,0,0,0
1.45045045045045,0,0,0,0
1.45545545545546,0,0,0,0
1.46046046046046,0,0,0,0
1.46546546546547,0,0,0,0
1.47047047047047,0,0,0,0
1.47547547547548,0,0,0,0
1.48048048048048,0,0,0,0
1.48548548548549,0,0,0,0
1.49049049049049,0,0,0,0
1.4954954954955,0,0,0,0
